Measures,# students,#students meeting target,Target,% students met target,Description
S1M1T1,21.0,,0.5,0.51,Group avg > 50%
S1M1T2,21.0,9.0,1.0,0.42857142857142855,100% of students >= 30 percentile
S1M2T1,140.0,92.0,0.9,0.6571428571428571,recall most steps in design/algorithm
S1M2T2,140.0,61.0,0.8,0.4357142857142857,recall all steps in design/algorithm
S1M3T1,178.0,131.0,0.8,0.7359550561797753,score 7-10
S1M3T2,178.0,111.0,0.5,0.6235955056179775,score 8-10
S1M14T1,169.0,143.0,0.7,0.8461538461538461,good or excellent   in improvement
S2M4T1,22.0,15.0,1.0,0.6818181818181818,improve or achieve 5 on slides
S2M4T2,22.0,14.0,1.0,0.6363636363636364,improve or achieve 5 on style
S2M5T1,22.0,22.0,0.8,1.0,12+ /15 on combined score
S2M6T1,,,0.8,,score 7-10
S2M7T1,15.0,15.0,0.8,1.0,presentations 80-100%
S2M14T1,20.0,12.0,0.7,0.6,good or excellent   in improvement
S3M8T1,42.0,,0.8,0.86,overall average 4.0+/5
S3M9T1,15.0,9.0,0.9,0.6,contribute with score > 85%
S3M10T1,,,0.8,,contribute 30-50% with partner
S3M14T1,42.0,28.0,0.7,0.6666666666666666,good or excellent in improbement
S4M11T1,22.0,17.0,0.75,0.7727272727272727,score 4-5
S4M12T1,22.0,17.0,0.75,0.7727272727272727,score 4-5
S4M14T1,62.0,38.0,0.7,0.6129032258064516,good or excellent   in improvement
