Measures,# students,#students meeting target,Target,% students met target,Description
S1M1T1,11.0,,0.5,0.65,Group avg > 50%
S1M1T2,11.0,11.0,1.0,1.0,100% of students >= 30 percentile
S1M2T1,398.0,170.0,0.9,0.4271356783919598,recall most steps in design/algorithm
S1M2T2,40.0,5.0,0.8,0.125,recall all steps in design/algorithm
S1M3T1,115.0,100.0,0.8,0.8695652173913043,score 7-10
S1M3T2,103.0,59.0,0.5,0.5728155339805825,score 8-10
S1M14T1,114.0,82.0,0.7,0.7192982456140351,good or excellent   in improvement
S2M4T1,,,1.0,,improve or achieve 3 on slides
S2M4T2,,,1.0,,improve or achieve 3 on style
S2M5T1,,,0.8,,10+ on combined score
S2M6T1,,,0.8,,score 7-10
S2M7T1,,,0.8,,presentations 80-100%
S2M14T1,,,0.7,,good or excellent   in improvement
S3M8T1,,,0.72,0.85,contribute fairly to projects
S3M9T1,,,0.9,,contribute with score > 85%
S3M10T1,,,0.8,,contribute 30-50% with partner
S3M14T1,,,0.7,,good or excellent in improbement
S4M11T1,21.0,19.0,0.75,0.9047619047619048,score 4-5
S4M12T1,21.0,20.0,0.75,0.9523809523809523,score 4-5
S4M14T1,,,0.7,,good or excellent   in improvement
